,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi
82,2020-02-27 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,9
83,2020-02-27 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,19,8.0,27,82,109,40,0,2,111,6164
84,2020-02-28 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0.0,1,0,1,0,0,0,1,33
85,2020-02-28 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,0,0,0,0,0,0,0
86,2020-02-28 18:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,2
87,2020-02-28 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,1,1,1,0,0,1,21
88,2020-02-28 18:00:00,ITA,15,Campania,40.83956555,14.25084984,2,0.0,2,2,4,1,0,0,4,213
89,2020-02-28 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,56,6.0,62,81,143,47,0,2,145,1277
90,2020-02-28 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0.0,0,0,0,0,0,0,0,169
91,2020-02-28 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0.0,0,0,0,0,3,0,3,611
92,2020-02-28 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,9,0.0,9,10,19,0,0,0,19,112
93,2020-02-28 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,235,47.0,282,192,474,125,40,17,531,4835
94,2020-02-28 18:00:00,ITA,11,Marche,43.61675973,13.5188753,3,2.0,5,1,6,3,0,0,6,47
95,2020-02-28 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0.0,0,0,0,0,0,0,0,0
96,2020-02-28 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,7,0.0,7,4,11,9,0,0,11,227
